date_time,amount,method,id
2026-05-26 20:42:56.312214,7100.00,BALANCE,59760
2026-05-26 20:38:36.815403,4970.000,USDT,59758
2026-05-26 20:31:46.677602,4100.00,card,59756
2026-05-26 20:23:09.377831,5100.00,BALANCE,59755
2026-05-26 19:46:35.739581,400.00,BALANCE,59751
2026-05-26 19:36:00.594274,4100.00,transa,59748
2026-05-26 19:20:35.125917,4100.00,transa,59745
2026-05-26 18:50:16.962578,4100.00,transa,59742
2026-05-26 18:46:06.708679,4100.00,card,59741
2026-05-26 18:28:45.251005,4100.00,transa,59737
2026-05-26 18:28:27.784344,4100.00,transa,59736
2026-05-26 17:50:22.371227,2870.000,USDT,59734
2026-05-26 17:47:39.152267,4100.00,transa,59732
2026-05-26 17:17:16.986612,4100.00,BALANCE,59728
2026-05-26 17:07:35.328265,1700.00,card,59723
2026-05-26 16:40:39.286137,7100.00,card,59721
2026-05-26 16:24:27.781598,2870.000,USDT,59719
2026-05-26 16:10:56.453562,1000.00,BALANCE,59717
2026-05-26 16:10:13.29023,4100.00,transa,59716
2026-05-26 15:58:43.197117,4100.00,card,59714
2026-05-26 15:49:23.000502,4100.00,transa,59713
2026-05-26 15:27:30.275227,300.00,BALANCE,59712
2026-05-26 15:17:19.599258,4100.00,transa,59709
2026-05-26 15:06:06.684021,3000.00,nirvana,59707
2026-05-26 15:03:01.413893,4000.00,transa,59706
2026-05-26 14:44:30.824612,4000.00,transa,59705
2026-05-26 14:38:11.322954,2600.00,transa,59704
2026-05-26 14:31:25.897721,2600.00,card,59703
2026-05-26 14:28:31.572969,2000.00,card,59702
2026-05-26 14:23:38.91163,4000.00,transa,59700
2026-05-26 13:51:47.659979,4000.00,BALANCE,59697
2026-05-26 13:44:08.052328,2000.00,BALANCE,59694
2026-05-26 13:33:51.721682,4000.00,BALANCE,59691
2026-05-26 13:27:22.54509,3000.00,BALANCE,59689
2026-05-26 13:14:51.401056,1000.00,BALANCE,59686
2026-05-26 13:06:48.07746,4000.00,card,59684
2026-05-26 12:38:02.354836,4000.00,card,59681
2026-05-26 12:32:39.050416,7100.00,transa,59680
2026-05-26 12:20:25.992343,4000.00,BALANCE,59677
2026-05-26 12:10:15.774878,4000.00,transa,59676
2026-05-26 12:06:38.687469,4000.00,card,59675
2026-05-26 12:04:26.821857,4000.00,transa,59674
2026-05-26 12:00:00.110536,4000.00,card,59672
2026-05-26 10:28:58.634016,3000.00,card,59669
2026-05-26 10:28:06.434956,4000.00,transa,59668
2026-05-26 07:44:12.410675,4000.00,transa,59650
2026-05-26 06:27:04.740469,7100.00,transa,59643
2026-05-26 05:12:46.168014,1000.00,BALANCE,59638
2026-05-26 04:07:06.127229,1000.00,BALANCE,59635
2026-05-26 00:26:52.027758,2800.000,USDT,59624
2026-05-26 00:25:13.415469,4000.00,card,59623
2026-05-26 00:16:13.497217,4000.00,card,59622
2026-05-25 23:49:53.589151,4000.00,card,59619
2026-05-25 23:15:19.186595,2600.00,transa,59616
2026-05-25 22:54:09.737819,2000.00,transa,59615
2026-05-25 22:47:08.741926,4000.00,card,59613
2026-05-25 22:42:32.984734,3000.00,card,59612
2026-05-25 22:38:58.01045,3000.00,card,59610
2026-05-25 22:37:58.741866,2500.00,BALANCE,59609
2026-05-25 22:09:18.982543,3000.00,BALANCE,59600
2026-05-25 21:53:08.482742,4000.00,transa,59598
2026-05-25 21:50:39.839152,4000.00,transa,59597
2026-05-25 21:49:40.871106,900.00,BALANCE,59595
2026-05-25 21:39:11.782131,4000.00,card,59592
2026-05-25 21:05:24.199586,100.00,BALANCE,59588
2026-05-25 20:45:10.863308,4000.00,BALANCE,59587
2026-05-25 20:06:44.718757,4000.00,card,59583
2026-05-25 19:49:26.600282,2800.000,USDT,59581
2026-05-25 19:42:54.545288,4000.00,card,59579
2026-05-25 19:36:24.725414,3000.00,BALANCE,59577
2026-05-25 19:18:28.890627,4000.00,BALANCE,59574
2026-05-25 19:18:12.998259,4000.00,transa,59573
2026-05-25 19:00:26.997732,4000.00,transa,59569
2026-05-25 18:37:40.907018,4000.00,card,59567
2026-05-25 18:28:50.017458,1000.00,BALANCE,59565
2026-05-25 18:24:54.062448,2600.00,transa,59564
2026-05-25 18:13:39.708193,4000.00,transa,59555
2026-05-25 18:12:45.098993,4000.00,BALANCE,59554
2026-05-25 18:04:59.973331,4000.00,transa,59550
2026-05-25 17:54:04.654879,1700.00,card,59545
2026-05-25 17:39:31.764043,4000.00,BALANCE,59543
2026-05-25 17:39:01.559949,4000.00,card,59542
2026-05-25 17:09:54.362739,2000.00,BALANCE,59538
2026-05-25 16:59:34.605268,4000.00,transa,59536
2026-05-25 16:51:20.705136,4000.00,transa,59535
2026-05-25 16:46:59.732541,4000.00,card,59534
2026-05-25 16:35:25.326334,4000.00,BALANCE,59533
2026-05-25 16:22:26.28515,3000.00,card,59526
2026-05-25 16:16:34.295258,0.00,BALANCE,59524
2026-05-25 16:11:42.79361,3000.00,card,59523
2026-05-25 16:09:47.462904,4000.00,transa,59522
2026-05-25 16:09:45.697153,2700.00,BALANCE,59521
2026-05-25 15:51:30.568839,1000.00,BALANCE,59515
2026-05-25 15:38:58.680352,4000.00,transa,59511
2026-05-25 15:36:47.332672,3000.00,card,59510
2026-05-25 15:31:08.983806,4000.00,transa,59508
2026-05-25 15:25:14.995538,3000.00,BALANCE,59507
2026-05-25 15:24:58.356226,4000.00,BALANCE,59506
2026-05-25 15:19:51.856628,4000.00,BALANCE,59505
2026-05-25 15:19:12.411451,2100.000,USDT,59504
2026-05-25 15:14:47.21261,4000.00,card,59501
2026-05-25 15:14:03.294874,4000.00,transa,59499
2026-05-25 15:13:50.063689,4000.00,transa,59498
2026-05-25 15:11:33.847289,4000.00,transa,59495
2026-05-25 15:09:09.286898,3000.00,BALANCE,59493
2026-05-25 15:03:03.206585,4000.00,BALANCE,59491
2026-05-25 15:02:11.483013,4000.00,BALANCE,59489
2026-05-25 15:01:38.236033,7100.00,transa,59488
2026-05-25 14:53:22.771594,2100.000,USDT,59487
2026-05-25 14:49:51.052587,4000.00,BALANCE,59486
2026-05-25 14:44:43.060583,0.00,BALANCE,59485
2026-05-25 14:43:18.218819,4000.00,BALANCE,59484
2026-05-25 14:34:20.855542,900.00,BALANCE,59483
2026-05-25 14:02:20.65373,2800.000,USDT,59469
2026-05-25 13:32:05.887862,4000.00,transa,59461
2026-05-25 13:06:23.989027,4000.00,card,59454
2026-05-25 13:00:17.093756,4000.00,transa,59453
2026-05-25 12:56:32.231227,2800.000,USDT,59450
2026-05-25 12:37:23.372343,2800.000,USDT,59444
2026-05-25 12:30:42.993171,3000.00,card,59442
2026-05-25 11:12:13.501712,7100.00,card,59435
2026-05-25 10:49:17.82917,2800.000,USDT,59433
2026-05-25 10:35:28.238987,2800.000,USDT,59430
2026-05-25 08:58:53.147593,7100.00,transa,59422
2026-05-25 08:56:05.70601,7100.00,transa,59421
2026-05-25 08:10:29.930314,2800.000,USDT,59418
2026-05-25 08:10:06.661816,4000.00,transa,59417
2026-05-25 04:50:44.495244,2800.000,USDT,59411
2026-05-25 03:12:10.720024,4000.00,transa,59409
2026-05-25 02:12:43.39304,4000.00,BALANCE,59397
2026-05-25 02:09:25.626857,4000.00,BALANCE,59396
2026-05-25 02:02:04.690281,3000.00,BALANCE,59391
2026-05-25 01:55:00.759554,1000.00,BALANCE,59387
2026-05-25 01:36:02.551949,2800.000,USDT,59384
2026-05-25 01:32:41.554453,4000.00,transa,59382
2026-05-25 01:11:12.616693,1100.00,BALANCE,59380
2026-05-25 00:39:14.480926,2000.00,transa,59368
2026-05-25 00:31:45.226398,4000.00,transa,59366
2026-05-25 00:03:18.307292,0.00,BALANCE,59353
2026-05-24 23:49:43.713385,2000.00,BALANCE,59351
2026-05-24 23:28:05.97878,2100.000,USDT,59342
2026-05-24 22:54:46.412945,2600.00,transa,59338
2026-05-24 22:42:37.994234,3000.00,transa,59336
2026-05-24 22:38:08.364902,2600.00,transa,59334
2026-05-24 22:27:26.932121,4200.00,BALANCE,59327
2026-05-24 22:00:13.844341,2800.000,USDT,59326
2026-05-24 21:39:03.859457,2100.000,USDT,59324
2026-05-24 21:17:02.612583,4000.00,BALANCE,59320
2026-05-24 21:11:44.739092,2940.000,USDT,59318
2026-05-24 21:06:23.255281,2800.000,USDT,59316
2026-05-24 20:45:43.764172,4000.00,transa,59313
2026-05-24 20:30:37.747992,4200.00,transa,59311
2026-05-24 20:10:40.714711,4000.00,transa,59309
2026-05-24 19:06:44.838168,3000.00,nirvana,59276
2026-05-24 18:43:55.928091,0.00,BALANCE,59263
2026-05-24 18:35:25.594112,4000.00,transa,59262
2026-05-24 18:19:36.18123,4000.00,transa,59256
2026-05-24 18:11:43.905835,0.00,BALANCE,59253
2026-05-24 18:03:57.491939,2500.00,BALANCE,59250
2026-05-24 17:56:20.27843,2800.000,USDT,59243
2026-05-24 17:54:26.547997,4000.00,transa,59241
2026-05-24 17:48:28.214786,4000.00,BALANCE,59240
2026-05-24 17:37:28.545007,3000.00,nirvana,59238
2026-05-24 17:32:47.995905,2100.000,USDT,59236
2026-05-24 17:27:15.144268,4970.000,USDT,59235
2026-05-24 17:03:09.882597,4000.00,transa,59225
2026-05-24 16:52:23.04003,4000.00,transa,59222
2026-05-24 16:49:13.428493,2800.000,USDT,59221
2026-05-24 16:43:01.925437,1700.00,transa,59220
2026-05-24 16:34:22.757551,2800.000,USDT,59219
2026-05-24 16:25:23.361447,2800.000,USDT,59217
2026-05-24 16:25:02.712962,3200.00,BALANCE,59216
2026-05-24 16:09:56.211308,4000.00,card,59212
2026-05-24 15:45:58.312282,3000.00,card,59208
2026-05-24 15:29:55.317218,4000.00,BALANCE,59201
2026-05-24 15:29:00.754511,0.00,BALANCE,59200
2026-05-24 15:20:26.233364,4000.00,nirvana,59196
2026-05-24 15:19:17.164051,4000.00,BALANCE,59195
2026-05-24 15:10:18.861175,700.00,BALANCE,59188
2026-05-24 15:05:31.373312,4200.00,BALANCE,59187
2026-05-24 14:51:31.231443,2600.00,transa,59180
2026-05-24 14:45:54.164253,7100.00,BALANCE,59176
2026-05-24 14:26:07.086806,1900.00,BALANCE,59172
2026-05-24 14:23:56.548075,4000.00,card,59171
2026-05-24 14:23:43.906208,3000.00,card,59170
2026-05-24 14:23:42.532001,4000.00,transa,59169
2026-05-24 14:20:47.448203,4200.00,card,59167
2026-05-24 13:48:53.180156,0.00,BALANCE,59151
2026-05-24 13:42:21.140355,4000.00,card,59147
2026-05-24 13:39:19.480971,0.00,BALANCE,59142
2026-05-24 13:36:56.914506,7100.00,transa,59140
2026-05-24 13:30:50.965143,2940.000,USDT,59138
2026-05-24 13:29:49.392529,0.00,BALANCE,59137
2026-05-24 13:21:55.659845,3500.00,BALANCE,59136
2026-05-24 12:28:00.881761,2800.000,USDT,59124
2026-05-24 12:27:10.250916,2800.000,USDT,59123
2026-05-24 12:09:13.111529,4000.00,nirvana,59119
2026-05-24 11:15:53.712695,2800.000,USDT,59109
2026-05-24 10:58:04.278615,2100.000,USDT,59102
2026-05-24 10:33:57.656005,0.00,BALANCE,59095
2026-05-24 10:28:23.419551,4000.00,transa,59094
2026-05-24 10:27:35.566382,2800.000,USDT,59093
2026-05-24 09:50:35.394915,2200.00,BALANCE,59089
2026-05-24 09:02:35.930714,0.00,BALANCE,59078
2026-05-24 08:33:21.839666,4000.00,transa,59077
2026-05-24 08:08:18.230872,4000.00,transa,59065
2026-05-24 04:50:21.894994,0.00,BALANCE,59046
2026-05-24 04:34:07.565458,2600.00,transa,59045
2026-05-24 03:15:05.491029,7100.00,transa,59040
2026-05-24 03:06:59.472928,0.00,BALANCE,59034
2026-05-24 01:35:09.219298,2800.000,USDT,59016
2026-05-24 00:51:58.020634,2600.00,transa,59013
2026-05-24 00:50:59.787728,2800.000,USDT,59012
2026-05-24 00:12:38.848402,2500.00,BALANCE,59009
2026-05-24 00:08:33.704331,3000.00,card,59007
2026-05-24 00:05:45.215493,4000.00,card,59006
2026-05-23 23:59:16.627228,4000.00,card,59003
