date,amount,method
2026-05-08,2450.000,USDT
2026-05-08,2660.000,USDT
2026-05-08,3920.000,USDT
2026-05-08,2310.000,USDT
2026-05-08,2310.000,USDT
2026-05-08,4060.000,USDT
2026-05-08,3800.00,BALANCE
2026-05-08,4060.000,USDT
2026-05-08,3300.00,juppiter
2026-05-08,3800.00,card
2026-05-08,4060.000,USDT
2026-05-08,5600.000,USDT
2026-05-07,3300.00,transa
2026-05-07,3300.00,transa
2026-05-07,5250.000,USDT
2026-05-07,8000.00,juppiter
2026-05-07,3300.00,BALANCE
2026-05-07,5800.00,BALANCE
2026-05-07,2310.000,USDT
2026-05-07,2660.000,USDT
2026-05-07,5400.00,juppiter
2026-05-07,3800.00,card
2026-05-07,8000.00,juppiter
2026-05-07,5800.00,juppiter
2026-05-07,2310.000,USDT
2026-05-07,3500.00,card
2026-05-07,2660.000,USDT
2026-05-07,7500.00,card
2026-05-07,5600.00,juppiter
2026-05-07,3300.00,transa
2026-05-07,5600.00,BALANCE
2026-05-07,3300.00,transa
2026-05-07,5800.00,transa
2026-05-07,3300.00,transa
2026-05-07,1900.00,card
2026-05-07,3300.00,card
2026-05-07,1900.00,card
2026-05-07,5600.00,juppiter
2026-05-07,3800.00,card
2026-05-07,5200.00,card
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,card
2026-05-07,3300.00,card
2026-05-07,3920.000,USDT
2026-05-07,4060.000,USDT
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,juppiter
2026-05-07,2450.000,USDT
2026-05-07,2500.00,card
2026-05-07,5800.00,juppiter
2026-05-07,5250.000,USDT
2026-05-07,2500.00,juppiter
2026-05-07,5600.00,transa
2026-05-07,8000.00,card
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,juppiter
2026-05-07,5800.00,BALANCE
2026-05-07,5600.000,USDT
2026-05-07,2500.00,transa
2026-05-07,8000.00,card
2026-05-07,2500.00,card
2026-05-07,1900.00,juppiter
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,BALANCE
2026-05-07,5200.00,juppiter
2026-05-07,5400.00,BALANCE
2026-05-07,5800.00,BALANCE
2026-05-07,5400.00,card
2026-05-07,5400.00,BALANCE
2026-05-07,3300.00,juppiter
2026-05-07,3300.00,juppiter
2026-05-07,5400.00,nirvana
2026-05-07,3920.000,USDT
2026-05-07,2310.000,USDT
2026-05-07,2500.00,transa
2026-05-07,3990.000,USDT
2026-05-07,2500.00,transa
2026-05-07,1750.000,USDT
2026-05-07,2310.000,USDT
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,transa
2026-05-07,8000.00,card
2026-05-07,3300.00,card
2026-05-07,5800.00,BALANCE
2026-05-07,8000.00,juppiter
2026-05-07,2500.00,juppiter
2026-05-07,5600.00,juppiter
2026-05-07,3300.00,BALANCE
2026-05-07,2500.00,card
2026-05-07,3800.00,transa
2026-05-07,2500.00,card
2026-05-07,5400.00,transa
2026-05-07,8000.00,BALANCE
2026-05-07,5400.00,card
2026-05-07,3800.00,juppiter
2026-05-07,3920.000,USDT
2026-05-07,2500.00,transa
2026-05-07,3500.00,card
2026-05-07,8000.00,juppiter
2026-05-07,2310.000,USDT
2026-05-07,2500.00,transa
2026-05-07,3300.00,transa
2026-05-07,5460.000,USDT
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,card
2026-05-07,5400.00,juppiter
2026-05-07,2500.00,card
2026-05-07,5700.00,card
2026-05-07,5800.00,BALANCE
2026-05-07,2500.00,card
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,BALANCE
2026-05-07,2500.00,transa
2026-05-07,5700.00,card
2026-05-07,1750.000,USDT
2026-05-07,5400.00,card
2026-05-07,2125.0000,LTC
2026-05-07,2500.00,card
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,juppiter
2026-05-07,1750.000,USDT
2026-05-07,2500.00,transa
2026-05-06,2500.00,transa
2026-05-06,2500.00,transa
2026-05-06,2500.00,transa
2026-05-06,3300.00,transa
2026-05-06,3500.00,BALANCE
2026-05-06,3300.00,transa
2026-05-06,2500.00,juppiter
2026-05-06,3640.000,USDT
2026-05-06,2500.00,transa
2026-05-06,5400.00,transa
2026-05-06,5400.00,transa
2026-05-06,3920.000,USDT
